root,geom,btag,horizon,M,year,tercile,n,E1_a_exp_L1-10,E1_a_exp_L1-5,E1_d_model_L1-10,E1_d_model_L1-5,E2,E4,disagreement
NQ,GLOBEX,B0,1day,345,2020,0,244,0.8907656992360444,0.880093790924274,1.2819236112587875,1.0489255154708,0.8968687906431163,0.993871558945876,0.40182982033451353
NQ,GLOBEX,B0,1day,345,2020,1,35,0.28442693660786605,0.06405774680215916,-0.3106569853495784,-0.3111079519907428,0.5161135331917958,0.9775786428248623,1.288686594815605
NQ,GLOBEX,B0,1day,345,2020,2,71,0.2799449576583643,0.231578071205295,0.728398218596298,0.39883820092544575,0.12377618033055561,0.9410094789046527,0.8172332985740971
NQ,GLOBEX,B0,1day,345,2020,3,138,0.8486672051149764,0.8757354550109667,1.376286604054732,1.1161620554512925,0.8753600065913303,0.9901130315514771,0.5276193989397555
NQ,GLOBEX,B0,1day,345,2021,0,246,0.7811012711520381,0.7829233296396183,1.7325833410128768,1.2405429080234012,0.809416708310249,0.9889795748665243,0.9514820698608387
NQ,GLOBEX,B0,1day,345,2021,1,86,0.6605609020101774,0.6613783940145215,-0.4359434514560603,-0.4640525644358131,0.52098301636155,0.9753037895275161,1.4393563539633292
NQ,GLOBEX,B0,1day,345,2021,2,97,0.8651189993474658,0.8669851188390849,-0.5663780419619995,-0.6469636992290555,0.5299658532796481,0.9570406825965585,1.604004381825614
NQ,GLOBEX,B0,1day,345,2021,3,63,0.3471218681361226,0.6488630463195613,1.0302114643721991,2.3945133469947932,0.7300136547215084,0.9773793895318711,2.0473914788586707
NQ,GLOBEX,B0,1day,345,2022,0,245,0.5374169939115432,0.5650100447104943,1.0371625092723422,0.8274086125308887,0.5984442716256652,0.9769015341454956,0.49974551536079903
NQ,GLOBEX,B0,1day,345,2022,2,35,-0.03342192469397008,-0.16625968654041312,-0.03711306231002832,0.1710630994630825,-0.7605846548345863,0.900188512667983,1.6607731675025694
NQ,GLOBEX,B0,1day,345,2022,3,207,0.5237886458105763,0.5352032511633371,1.1814606048163148,0.8483380570775766,0.5748381464275579,0.9692802501192805,0.6576719590057385
NQ,GLOBEX,B0,1day,345,2023,0,244,0.46220476544830863,0.4913184521096545,0.7183500042288702,0.6846272838666307,0.603040044004583,0.9776226362393229,0.5154178707910142
